================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۷_۱۶۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1529
================================================================================

[00:38:40.992 --> 00:38:41.566] patient_2
[00:38:41.752 --> 00:38:48.113] patient_2
[00:38:42.038 --> 00:38:43.675] patient_1
[00:38:49.328 --> 00:38:50.898] patient_2
[00:38:49.936 --> 00:38:50.662] patient_1
[00:38:52.602 --> 00:38:53.615] patient_1
[00:38:54.290 --> 00:38:55.775] patient_1
[00:38:56.045 --> 00:38:56.416] patient_1
[00:38:56.078 --> 00:38:56.467] patient_2
[00:38:56.467 --> 00:38:57.057] patient_1
[00:39:04.415 --> 00:39:09.427] patient_1
[00:39:09.882 --> 00:39:17.915] patient_1
[00:39:16.649 --> 00:39:17.088] doctor
[00:39:18.050 --> 00:39:43.430] patient_1
[00:39:32.123 --> 00:39:32.950] doctor
[00:39:36.089 --> 00:39:36.477] doctor
[00:39:45.117 --> 00:39:50.500] patient_2
[00:39:52.610 --> 00:39:59.765] patient_2
[00:40:07.220 --> 00:40:14.358] doctor
[00:40:13.767 --> 00:40:14.155] patient_1
[00:40:14.746 --> 00:40:33.173] doctor
[00:40:25.529 --> 00:40:26.356] patient_1
[00:40:27.065 --> 00:40:27.858] patient_1
[00:40:30.085 --> 00:40:31.773] patient_1
[00:40:38.185 --> 00:40:40.649] doctor
[00:40:41.662 --> 00:40:43.096] doctor
[00:40:43.585 --> 00:40:44.530] doctor
[00:40:52.006 --> 00:40:55.229] doctor
[00:40:55.651 --> 00:41:02.958] doctor
[00:41:20.660 --> 00:41:21.520] doctor
[00:42:11.555 --> 00:42:19.992] doctor
[00:42:17.140 --> 00:42:17.647] patient_1
[00:42:47.785 --> 00:42:48.359] doctor
[00:42:49.439 --> 00:42:56.442] doctor
[00:42:58.248 --> 00:43:09.993] doctor
[00:43:05.200 --> 00:43:05.673] patient_1
[00:43:06.044 --> 00:43:06.533] patient_1
[00:43:10.229 --> 00:43:13.688] doctor
[00:43:14.144 --> 00:43:14.617] doctor
[00:43:19.679 --> 00:43:21.552] doctor
[00:43:21.772 --> 00:43:22.227] doctor
[00:43:22.767 --> 00:43:33.449] doctor
[00:43:29.281 --> 00:43:29.939] patient_1
[00:43:38.427 --> 00:43:50.155] doctor
[00:43:43.473 --> 00:43:44.587] patient_1
[00:43:45.987 --> 00:43:46.493] patient_1
[00:43:52.332 --> 00:43:54.847] doctor
[00:43:56.905 --> 00:43:58.289] doctor
[00:44:01.192 --> 00:44:03.638] doctor
[00:44:05.005 --> 00:44:06.136] doctor
[00:44:11.890 --> 00:44:14.253] doctor
[00:44:16.143 --> 00:44:18.016] doctor
[00:44:19.028 --> 00:44:27.989] doctor
[00:44:21.847 --> 00:44:24.935] patient_1
[00:44:35.026 --> 00:44:36.562] doctor
[00:44:41.033 --> 00:44:46.957] doctor
[00:44:47.041 --> 00:44:49.049] doctor
[00:44:51.260 --> 00:44:54.027] doctor
[00:44:53.150 --> 00:44:53.555] patient_1
[00:44:54.955 --> 00:44:55.529] doctor
[00:44:56.305 --> 00:44:59.967] doctor
[00:45:07.861 --> 00:45:09.667] patient_1
[00:45:12.805 --> 00:45:13.480] patient_1
[00:45:14.172 --> 00:45:15.033] patient_1
[00:45:15.067 --> 00:45:17.412] patient_1
[00:45:17.851 --> 00:45:22.070] doctor
[00:45:20.045 --> 00:45:20.855] patient_1
[00:45:24.196 --> 00:45:27.031] doctor
[00:45:27.436 --> 00:45:30.693] doctor
[00:45:35.283 --> 00:45:36.329] patient_1
[00:45:39.012 --> 00:45:40.261] patient_1
[00:45:39.603 --> 00:45:40.497] doctor
[00:45:52.327 --> 00:45:56.647] doctor
[00:45:55.533 --> 00:45:56.410] patient_1
[00:45:57.895 --> 00:46:04.426] doctor
[00:46:00.832 --> 00:46:01.861] patient_1
[00:46:05.354 --> 00:46:16.036] doctor
[00:46:11.783 --> 00:46:12.155] patient_1
[00:46:12.813 --> 00:46:13.775] patient_1
[00:46:36.708 --> 00:46:39.577] patient_1
[00:46:39.965 --> 00:46:41.180] patient_1
[00:46:41.467 --> 00:46:44.048] patient_1
[00:46:44.774 --> 00:46:46.208] patient_1
[00:46:47.643 --> 00:46:53.026] patient_1
[00:46:52.030 --> 00:46:52.486] doctor
[00:46:53.684 --> 00:46:56.671] patient_1
[00:46:57.042 --> 00:47:02.611] patient_1
[00:47:01.244 --> 00:47:01.598] doctor
[00:47:02.965 --> 00:47:10.947] patient_1
[00:47:08.095 --> 00:47:08.872] doctor
[00:47:09.682 --> 00:47:10.508] doctor
[00:47:12.955 --> 00:47:13.917] patient_1
[00:47:13.968 --> 00:47:15.757] patient_1
