================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۹_۱۶۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 3521
================================================================================

[01:24:14.978 --> 01:24:23.973] patient_3
[01:24:23.973 --> 01:24:31.212] patient_2
[01:24:31.533 --> 01:24:35.161] patient_2
[01:24:35.566 --> 01:24:36.190] patient_2
[01:24:37.237 --> 01:24:40.679] patient_2
[01:24:41.152 --> 01:24:42.417] patient_2
[01:24:42.485 --> 01:24:51.884] patient_3
[01:24:50.602 --> 01:24:51.158] patient_2
[01:24:52.795 --> 01:24:59.967] patient_2
[01:25:00.031 --> 01:25:15.674] doctor
[01:25:02.225 --> 01:25:03.929] patient_1
[01:25:04.402 --> 01:25:05.718] patient_1
[01:25:07.709 --> 01:25:08.722] patient_1
[01:25:15.944 --> 01:25:41.915] doctor
[01:25:31.182 --> 01:25:31.958] patient_1
[01:25:37.696 --> 01:25:38.303] patient_1
[01:25:42.117 --> 01:25:43.315] doctor
[01:25:42.218 --> 01:25:44.902] patient_1
[01:25:44.075 --> 01:26:00.494] doctor
[01:25:45.053 --> 01:25:45.593] patient_1
[01:25:50.757 --> 01:25:51.432] patient_1
[01:26:01.017 --> 01:26:11.513] doctor
[01:26:01.895 --> 01:26:02.317] patient_1
[01:26:13.471 --> 01:26:18.331] doctor
[01:26:18.719 --> 01:26:25.537] doctor
[01:26:23.697 --> 01:26:24.440] patient_1
[01:26:25.604 --> 01:26:32.135] doctor
[01:26:30.717 --> 01:26:31.645] patient_1
[01:26:32.320 --> 01:26:34.447] doctor
[01:26:33.755 --> 01:26:34.160] patient_1
[01:26:34.919 --> 01:26:40.589] doctor
[01:26:41.180 --> 01:26:49.415] doctor
[01:26:42.952 --> 01:26:44.909] patient_1
[01:26:50.005 --> 01:26:52.098] doctor
[01:26:54.106 --> 01:26:54.713] doctor
[01:26:55.017 --> 01:26:55.608] doctor
[01:26:56.688 --> 01:26:59.388] doctor
[01:26:59.506 --> 01:27:02.830] doctor
[01:27:05.328 --> 01:27:05.750] patient_1
[01:27:06.965 --> 01:27:08.888] patient_1
[01:27:09.445 --> 01:27:12.719] patient_1
[01:27:12.787 --> 01:27:19.756] patient_1
[01:27:13.445 --> 01:27:14.322] doctor
[01:27:15.858 --> 01:27:16.347] doctor
[01:27:18.507 --> 01:27:18.878] doctor
[01:27:19.823 --> 01:27:23.671] patient_1
[01:27:21.781 --> 01:27:42.638] doctor
[01:27:24.700 --> 01:27:25.257] patient_1
[01:27:27.974 --> 01:27:29.864] patient_1
[01:27:32.632 --> 01:27:33.880] patient_1
[01:27:34.555 --> 01:27:36.985] patient_1
[01:27:43.128 --> 01:27:49.912] doctor
[01:27:44.360 --> 01:27:46.385] patient_1
[01:27:48.494 --> 01:27:49.675] patient_1
[01:27:51.380 --> 01:27:52.882] doctor
[01:27:53.489 --> 01:27:54.097] doctor
[01:27:57.016 --> 01:28:01.066] doctor
[01:28:00.020 --> 01:28:00.712] patient_1
[01:28:01.808 --> 01:28:02.618] patient_1
[01:28:02.618 --> 01:28:03.192] doctor
[01:28:04.255 --> 01:28:16.017] doctor
[01:28:10.280 --> 01:28:10.752] patient_1
[01:28:16.372 --> 01:28:27.307] doctor
[01:28:16.422 --> 01:28:17.131] patient_1
[01:28:24.488 --> 01:28:25.045] patient_1
[01:28:27.830 --> 01:28:33.533] doctor
[01:28:32.268 --> 01:28:32.774] patient_1
[01:28:33.550 --> 01:28:41.785] doctor
[01:28:36.959 --> 01:28:37.398] patient_1
[01:28:38.680 --> 01:28:39.068] patient_1
[01:28:39.102 --> 01:28:40.064] patient_1
[01:28:40.688 --> 01:28:41.566] patient_1
[01:28:42.089 --> 01:28:44.030] doctor
[01:28:44.063 --> 01:28:55.977] doctor
[01:28:45.548 --> 01:28:49.700] patient_1
[01:28:56.028 --> 01:28:56.973] doctor
[01:28:56.990 --> 01:28:57.968] doctor
[01:28:57.108 --> 01:28:57.462] patient_1
[01:28:58.036 --> 01:28:58.964] doctor
[01:28:59.032 --> 01:28:59.977] doctor
[01:29:00.027 --> 01:29:00.533] doctor
[01:29:00.533 --> 01:29:01.023] patient_1
[01:29:01.512 --> 01:29:03.048] doctor
[01:29:04.583 --> 01:29:08.819] doctor
[01:29:09.089 --> 01:29:10.709] doctor
[01:29:11.384 --> 01:29:16.447] doctor
[01:29:16.632 --> 01:29:20.176] doctor
[01:29:16.970 --> 01:29:17.864] patient_1
[01:29:20.429 --> 01:29:24.867] doctor
[01:29:20.530 --> 01:29:21.543] patient_1
[01:29:22.336 --> 01:29:23.163] patient_1
[01:29:26.555 --> 01:29:42.637] doctor
[01:29:27.314 --> 01:29:27.989] patient_1
[01:29:31.702 --> 01:29:34.925] patient_1
[01:29:37.338 --> 01:29:37.777] patient_1
[01:29:43.885 --> 01:29:48.087] doctor
[01:29:44.527 --> 01:29:47.362] patient_1
[01:29:49.066 --> 01:29:54.922] doctor
[01:29:51.952 --> 01:29:54.044] patient_1
[01:29:54.922 --> 01:29:56.677] patient_1
[01:29:56.963 --> 01:29:57.976] patient_1
[01:29:57.976 --> 01:29:58.972] doctor
[01:30:04.705 --> 01:30:05.768] patient_1
[01:30:06.899 --> 01:30:14.122] patient_1
[01:30:11.337 --> 01:30:11.692] patient_4
[01:30:11.911 --> 01:30:12.670] patient_4
