================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۱_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 2183
================================================================================

[00:19:38.300 --> 00:19:38.907] patient_2
[00:19:39.177 --> 00:19:39.852] patient_2
[00:19:45.218 --> 00:19:45.860] doctor
[00:19:46.197 --> 00:19:54.820] patient_1
[00:19:46.282 --> 00:19:47.024] doctor
[00:19:47.024 --> 00:19:47.446] patient_2
[00:19:48.205 --> 00:19:50.720] patient_2
[00:19:54.044 --> 00:19:58.718] doctor
[00:19:56.018 --> 00:19:59.967] patient_1
[00:20:00.031 --> 00:20:05.296] patient_2
[00:20:03.035 --> 00:20:03.710] patient_1
[00:20:08.131 --> 00:20:09.025] patient_2
[00:20:08.435 --> 00:20:08.975] patient_1
[00:20:09.025 --> 00:20:09.498] patient_1
[00:20:09.498 --> 00:20:11.776] patient_2
[00:20:09.548 --> 00:20:16.298] patient_1
[00:20:14.678 --> 00:20:15.134] patient_2
[00:20:24.010 --> 00:20:25.883] patient_1
[00:20:27.335 --> 00:20:31.452] patient_1
[00:20:32.127 --> 00:20:36.852] patient_1
[00:20:43.450 --> 00:20:45.813] patient_2
[00:20:46.825 --> 00:20:53.558] patient_2
[00:20:53.558 --> 00:20:59.532] patient_1
[00:20:53.592 --> 00:20:53.963] patient_2
[00:20:54.335 --> 00:20:54.976] patient_2
[00:20:55.499 --> 00:20:55.972] patient_2
[00:20:56.107 --> 00:20:56.832] patient_2
[00:21:02.333 --> 00:21:02.907] patient_1
[00:21:05.708 --> 00:21:12.037] patient_1
[00:21:12.509 --> 00:21:22.752] patient_2
[00:21:22.752 --> 00:21:23.967] doctor
[00:21:25.115 --> 00:21:32.911] doctor
[00:21:33.873 --> 00:21:34.852] doctor
[00:21:35.442 --> 00:21:37.653] doctor
[00:21:37.940 --> 00:21:39.053] patient_3
[00:21:39.121 --> 00:21:39.492] patient_2
[00:21:52.098 --> 00:21:58.088] patient_2
[00:21:59.101 --> 00:22:00.029] patient_2
[00:22:39.263 --> 00:22:49.777] patient_3
[00:22:42.031 --> 00:22:44.967] patient_2
[00:22:50.772 --> 00:23:01.589] patient_3
[00:23:04.559 --> 00:23:05.420] patient_3
[00:23:05.453 --> 00:23:11.410] patient_3
[00:23:05.774 --> 00:23:06.635] doctor
[00:23:09.217 --> 00:23:11.242] patient_2
[00:23:15.241 --> 00:23:17.131] patient_3
[00:23:17.401 --> 00:23:20.472] patient_3
[00:23:17.502 --> 00:23:26.800] patient_1
[00:23:23.999 --> 00:23:30.698] patient_3
[00:23:31.964 --> 00:23:52.568] patient_3
[00:23:49.328 --> 00:23:52.248] patient_1
[00:23:53.041 --> 00:23:58.762] patient_3
[00:23:58.913 --> 00:24:00.837] patient_3
[00:24:03.098 --> 00:24:04.533] patient_3
[00:24:04.550 --> 00:24:06.001] patient_3
[00:24:04.600 --> 00:24:19.518] patient_1
[00:24:17.290 --> 00:24:20.783] patient_2
[00:24:21.155 --> 00:24:21.678] patient_2
[00:24:21.678 --> 00:24:29.120] patient_1
[00:24:22.758 --> 00:24:23.467] patient_2
[00:24:42.232 --> 00:24:48.037] patient_3
[00:25:10.966 --> 00:25:12.434] patient_4
[00:25:13.733 --> 00:25:14.290] patient_4
[00:25:22.964 --> 00:25:50.977] patient_1
[00:25:25.411 --> 00:25:25.765] patient_4
[00:25:46.015 --> 00:25:54.132] patient_2
[00:25:54.520 --> 00:26:06.097] patient_2
[00:26:01.237 --> 00:26:01.810] patient_4
[00:26:06.113 --> 00:26:06.535] patient_2
[00:26:06.130 --> 00:26:06.518] patient_4
[00:26:06.687 --> 00:26:07.463] patient_3
[00:26:07.463 --> 00:26:09.775] patient_2
[00:26:07.480 --> 00:26:09.370] patient_3
[00:26:09.775 --> 00:26:11.024] doctor
[00:26:10.282 --> 00:26:26.802] patient_2
[00:26:11.412 --> 00:26:13.268] doctor
[00:26:15.698 --> 00:26:16.441] doctor
[00:26:20.238 --> 00:26:21.706] patient_3
[00:26:22.837 --> 00:26:39.037] patient_3
[00:26:28.034 --> 00:26:28.456] patient_2
[00:26:29.030 --> 00:26:32.118] patient_2
[00:26:33.637 --> 00:26:34.345] patient_2
[00:26:34.818 --> 00:26:44.032] patient_2
[00:26:39.037 --> 00:26:43.964] patient_4
[00:26:44.032 --> 00:26:47.963] patient_4
[00:26:45.314 --> 00:26:53.026] patient_2
[00:26:47.963 --> 00:26:59.287] patient_3
[00:26:53.026 --> 00:27:03.337] patient_4
[00:27:01.312 --> 00:27:03.978] patient_3
[00:27:03.472 --> 00:27:06.948] patient_4
