================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۶_۱۸۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 4864
================================================================================

[00:35:39.738 --> 00:35:41.172] doctor
[00:35:41.847 --> 00:35:42.505] doctor
[00:35:43.130 --> 00:35:44.260] doctor
[00:35:44.513 --> 00:35:48.192] doctor
[00:35:45.357 --> 00:35:46.032] patient_1
[00:35:52.782 --> 00:35:56.107] doctor
[00:36:01.169 --> 00:36:02.806] doctor
[00:36:03.312 --> 00:36:05.928] doctor
[00:36:06.603 --> 00:36:11.885] doctor
[00:36:13.032 --> 00:36:14.720] doctor
[00:36:17.588 --> 00:36:23.444] doctor
[00:36:24.170 --> 00:36:26.009] doctor
[00:36:26.532 --> 00:36:39.374] doctor
[00:36:33.130 --> 00:36:35.408] patient_1
[00:36:36.117 --> 00:36:36.488] patient_1
[00:36:40.184 --> 00:36:43.475] doctor
[00:36:41.753 --> 00:36:42.462] patient_1
[00:36:42.901 --> 00:36:43.373] patient_1
[00:36:43.812 --> 00:36:48.571] doctor
[00:36:46.006 --> 00:36:46.681] patient_1
[00:36:47.322 --> 00:36:47.963] patient_1
[00:36:48.723 --> 00:36:52.233] doctor
[00:36:50.680 --> 00:36:51.558] patient_1
[00:36:52.503 --> 00:36:55.574] doctor
[00:36:56.283 --> 00:36:59.540] doctor
[00:37:00.772 --> 00:37:02.071] doctor
[00:37:05.193 --> 00:37:06.931] doctor
[00:37:05.260 --> 00:37:05.834] patient_1
[00:37:07.167 --> 00:37:08.011] doctor
[00:37:07.268 --> 00:37:07.640] patient_1
[00:37:08.247 --> 00:37:08.804] doctor
[00:37:13.141 --> 00:37:15.655] doctor
[00:37:15.065 --> 00:37:15.419] patient_1
[00:37:35.213 --> 00:37:36.968] doctor
[00:37:37.238 --> 00:37:38.167] doctor
[00:37:42.706 --> 00:37:48.511] doctor
[00:37:53.945 --> 00:37:56.138] doctor
[00:37:57.320 --> 00:37:57.775] doctor
[00:38:13.823 --> 00:38:15.258] doctor
[00:38:18.211 --> 00:38:18.886] doctor
[00:38:19.510 --> 00:38:20.624] doctor
[00:38:21.164 --> 00:38:21.738] doctor
[00:38:22.987 --> 00:38:26.463] doctor
[00:38:25.467 --> 00:38:26.092] patient_1
[00:38:26.513 --> 00:38:26.885] doctor
[00:38:27.391 --> 00:38:34.242] doctor
[00:38:30.091 --> 00:38:30.530] patient_1
[00:38:34.900 --> 00:38:46.612] doctor
[00:38:49.598 --> 00:38:52.214] doctor
[00:38:53.125 --> 00:38:53.716] doctor
[00:38:56.078 --> 00:38:58.120] doctor
[00:38:56.450 --> 00:38:57.260] patient_1
[00:39:02.187 --> 00:39:08.937] doctor
[00:39:10.102 --> 00:39:17.628] doctor
[00:39:18.691 --> 00:39:21.037] doctor
[00:39:22.117 --> 00:39:22.893] doctor
[00:39:51.884 --> 00:39:52.728] doctor
[00:39:54.027 --> 00:39:59.461] doctor
[00:39:57.368 --> 00:39:58.162] patient_1
[00:39:59.596 --> 00:39:59.967] doctor
[00:40:00.031 --> 00:40:11.050] patient_1
[00:40:12.248 --> 00:40:14.678] patient_1
[00:40:14.712 --> 00:40:16.957] patient_1
[00:40:17.108 --> 00:40:21.901] patient_1
[00:40:18.172 --> 00:40:18.982] doctor
[00:40:19.977 --> 00:40:20.534] doctor
[00:40:21.192 --> 00:40:23.048] doctor
[00:40:23.639 --> 00:40:27.233] patient_1
[00:40:27.419 --> 00:40:34.017] doctor
[00:40:27.638 --> 00:40:30.035] patient_1
[00:40:31.267 --> 00:40:33.140] patient_1
[00:40:34.017 --> 00:40:38.945] patient_1
[00:40:34.034 --> 00:40:34.760] doctor
[00:40:38.962 --> 00:40:39.822] patient_1
[00:40:40.261 --> 00:40:50.335] doctor
[00:40:43.282 --> 00:40:44.497] patient_1
[00:40:46.825 --> 00:40:49.323] patient_1
[00:40:51.196 --> 00:40:55.668] doctor
[00:40:51.213 --> 00:40:51.702] patient_1
[00:40:56.849 --> 00:41:01.085] doctor
[00:41:00.258 --> 00:41:05.118] patient_1
[00:41:03.599 --> 00:41:04.223] doctor
[00:41:05.118 --> 00:41:06.063] doctor
[00:41:05.337 --> 00:41:09.202] patient_1
[00:41:08.797 --> 00:41:09.168] doctor
[00:41:09.539 --> 00:41:10.670] patient_1
[00:41:10.298 --> 00:41:11.345] doctor
[00:41:12.121 --> 00:41:13.437] doctor
[00:41:14.028 --> 00:41:22.027] doctor
[00:41:18.584 --> 00:41:20.525] patient_1
[00:41:22.887 --> 00:41:26.245] doctor
[00:41:29.485 --> 00:41:32.084] doctor
[00:41:33.890 --> 00:41:34.244] doctor
[00:41:34.649 --> 00:41:35.712] doctor
[00:41:35.864 --> 00:41:38.733] doctor
[00:41:39.509 --> 00:41:43.913] doctor
[00:41:45.010 --> 00:41:49.077] doctor
[00:41:49.516 --> 00:41:53.043] doctor
[00:41:49.685 --> 00:41:50.849] patient_1
[00:41:53.752 --> 00:42:01.328] doctor
[00:42:01.987 --> 00:42:03.033] patient_1
[00:42:03.033 --> 00:42:04.298] doctor
[00:42:03.235 --> 00:42:03.978] patient_1
[00:42:06.661 --> 00:42:07.268] doctor
[00:42:07.859 --> 00:42:08.298] doctor
[00:42:08.770 --> 00:42:10.559] doctor
[00:42:12.348 --> 00:42:14.710] doctor
[00:42:14.356 --> 00:42:18.811] patient_1
[00:42:16.516 --> 00:42:22.456] doctor
[00:42:22.692 --> 00:42:24.025] patient_1
[00:42:25.696 --> 00:42:27.265] doctor
[00:42:28.244 --> 00:42:29.763] doctor
[00:42:29.105 --> 00:42:31.889] patient_1
[00:42:35.585 --> 00:42:37.053] doctor
[00:42:37.762 --> 00:42:38.960] doctor
[00:42:42.031 --> 00:42:44.798] doctor
[00:42:45.440 --> 00:42:46.823] doctor
[00:42:46.958 --> 00:42:48.089] patient_1
[00:42:48.241 --> 00:42:49.287] doctor
[00:42:48.747 --> 00:42:50.232] patient_1
[00:42:50.654 --> 00:42:51.700] doctor
[00:42:52.038 --> 00:42:55.193] patient_1
[00:42:52.072 --> 00:42:53.152] doctor
[00:42:56.392 --> 00:42:57.590] patient_1
[00:42:58.079 --> 00:42:59.378] doctor
[00:43:00.830 --> 00:43:01.859] doctor
[00:43:02.770 --> 00:43:04.036] doctor
[00:43:04.036 --> 00:43:05.825] patient_1
[00:43:04.897 --> 00:43:05.977] doctor
[00:43:06.837 --> 00:43:11.663] doctor
[00:43:12.119 --> 00:43:17.958] doctor
[00:43:18.346 --> 00:43:19.578] doctor
[00:43:21.417 --> 00:43:23.037] doctor
[00:43:23.122 --> 00:43:23.982] doctor
[00:43:23.982 --> 00:43:25.400] patient_1
[00:43:25.670 --> 00:43:30.563] doctor
[00:43:28.370 --> 00:43:29.551] patient_1
[00:43:30.175 --> 00:43:30.968] patient_1
[00:43:31.863 --> 00:43:35.980] patient_1
[00:43:34.681 --> 00:43:36.453] doctor
[00:43:36.655 --> 00:43:40.942] patient_1
[00:43:42.376 --> 00:43:43.287] patient_1
[00:43:43.928 --> 00:43:44.688] doctor
[00:43:47.152 --> 00:43:47.607] patient_1
[00:43:47.607 --> 00:43:49.902] doctor
[00:43:49.902 --> 00:43:53.412] patient_1
[00:43:52.822 --> 00:43:54.644] doctor
[00:43:53.851 --> 00:43:58.053] patient_1
[00:43:58.542 --> 00:44:05.140] doctor
[00:44:06.018 --> 00:44:07.975] patient_1
[00:44:07.773 --> 00:44:08.431] doctor
[00:44:09.511 --> 00:44:10.692] doctor
[00:44:15.198 --> 00:44:18.742] doctor
[00:44:19.433 --> 00:44:20.142] doctor
[00:44:20.699 --> 00:44:21.931] doctor
[00:44:25.289 --> 00:44:26.217] doctor
