================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۰_۲۰۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1205
================================================================================

[00:43:33.095 --> 00:43:37.178] patient_2
[00:43:37.634 --> 00:44:03.976] patient_1
[00:44:03.976 --> 00:44:21.357] patient_3
[00:44:21.593 --> 00:44:24.968] patient_3
[00:44:24.968 --> 00:44:31.145] patient_2
[00:44:31.280 --> 00:44:41.033] patient_2
[00:44:52.964 --> 00:44:54.196] patient_3
[00:44:54.972 --> 00:44:57.976] patient_3
[00:45:07.979 --> 00:45:08.502] doctor
[00:45:08.772 --> 00:45:09.160] doctor
[00:45:09.616 --> 00:45:18.695] doctor
[00:45:12.670 --> 00:45:13.126] patient_1
[00:45:19.690 --> 00:45:20.838] doctor
[00:45:29.360 --> 00:45:33.747] doctor
[00:45:32.802 --> 00:45:33.376] patient_1
[00:46:11.969 --> 00:46:17.437] doctor
[00:46:18.500 --> 00:46:21.841] doctor
[00:46:23.832 --> 00:46:24.322] doctor
[00:46:25.064 --> 00:46:26.785] doctor
[00:46:27.376 --> 00:46:32.270] doctor
[00:46:34.210 --> 00:46:37.754] doctor
[00:46:39.070 --> 00:46:42.192] doctor
[00:46:42.496 --> 00:46:49.820] doctor
[00:46:51.760 --> 00:46:57.025] doctor
[00:47:00.164 --> 00:47:02.122] doctor
[00:47:02.138 --> 00:47:02.797] doctor
[00:47:03.083 --> 00:47:03.809] doctor
[00:47:03.978 --> 00:47:04.619] doctor
[00:47:05.311 --> 00:47:06.003] doctor
[00:47:07.741 --> 00:47:25.848] doctor
[00:47:27.907 --> 00:47:28.379] doctor
[00:47:40.883 --> 00:47:41.558] doctor
[00:47:42.318 --> 00:47:42.723] doctor
[00:47:59.480 --> 00:48:02.028] doctor
[00:48:19.966 --> 00:48:21.215] doctor
[00:48:21.400 --> 00:48:22.582] doctor
[00:48:25.315 --> 00:48:26.564] doctor
[00:48:27.931 --> 00:48:30.327] doctor
[00:48:28.235 --> 00:48:29.028] patient_1
[00:48:31.070 --> 00:48:31.610] doctor
[00:48:32.639 --> 00:48:34.698] doctor
[00:48:34.968 --> 00:48:40.672] doctor
[00:48:41.380 --> 00:48:41.870] doctor
[00:48:42.190 --> 00:48:42.595] doctor
[00:48:43.726 --> 00:48:44.367] doctor
[00:48:47.337 --> 00:48:47.894] doctor
[00:48:48.957 --> 00:48:50.138] doctor
[00:48:52.501 --> 00:48:53.834] doctor
[00:48:54.138 --> 00:48:55.910] doctor
[00:48:55.943 --> 00:48:56.298] doctor
[00:48:57.260 --> 00:48:59.099] doctor
[00:49:01.057 --> 00:49:01.613] doctor
[00:49:03.217 --> 00:49:03.723] doctor
[00:49:04.702 --> 00:49:06.524] doctor
[00:49:06.608 --> 00:49:07.267] doctor
[00:49:11.300 --> 00:49:12.802] doctor
[00:49:15.198 --> 00:49:16.328] doctor
[00:49:47.699 --> 00:49:49.454] doctor
[00:49:50.365 --> 00:49:53.690] doctor
[00:49:57.335 --> 00:49:57.875] doctor
[00:50:00.520 --> 00:50:01.027] patient_2
[00:50:04.857 --> 00:50:05.363] doctor
[00:50:07.878 --> 00:50:08.266] doctor
[00:50:13.042 --> 00:50:16.265] doctor
[00:50:17.092 --> 00:50:26.170] patient_2
[00:50:27.031 --> 00:50:27.976] doctor
[00:50:29.275 --> 00:50:36.025] patient_2
[00:50:37.612 --> 00:50:42.151] patient_2
[00:50:44.581 --> 00:50:45.037] patient_2
