================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۱۳۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1661
================================================================================

[01:47:08.011 --> 01:47:10.525] doctor
[01:47:08.838 --> 01:47:09.209] patient_1
[01:47:10.610 --> 01:47:13.546] doctor
[01:47:14.187 --> 01:47:19.823] doctor
[01:47:16.027 --> 01:47:16.617] patient_1
[01:47:17.562 --> 01:47:17.967] patient_1
[01:47:19.891 --> 01:47:24.464] doctor
[01:47:21.106 --> 01:47:21.663] patient_1
[01:47:22.709 --> 01:47:24.076] patient_1
[01:47:24.886 --> 01:47:30.269] doctor
[01:47:25.628 --> 01:47:26.067] patient_1
[01:47:38.960 --> 01:47:39.972] doctor
[01:47:46.402 --> 01:47:49.675] doctor
[01:47:50.097 --> 01:47:52.072] doctor
[01:47:52.848 --> 01:47:57.218] doctor
[01:47:59.041 --> 01:48:02.652] doctor
[01:48:07.934 --> 01:48:08.845] doctor
[01:48:09.183 --> 01:48:09.672] doctor
[01:48:14.515 --> 01:48:16.844] doctor
[01:48:20.472 --> 01:48:21.299] doctor
[01:48:24.168 --> 01:48:25.366] doctor
[01:48:27.273 --> 01:48:28.032] doctor
[01:48:29.011 --> 01:48:30.023] doctor
[01:48:30.918 --> 01:48:33.179] doctor
[01:48:33.888 --> 01:48:39.052] doctor
[01:48:40.469 --> 01:48:42.038] doctor
[01:48:42.612 --> 01:48:44.401] doctor
[01:48:45.548 --> 01:48:47.354] doctor
[01:48:52.180 --> 01:48:55.100] doctor
[01:49:00.702 --> 01:49:03.757] doctor
[01:49:06.676 --> 01:49:09.258] doctor
[01:49:07.351 --> 01:49:07.975] patient_1
[01:49:08.009 --> 01:49:08.482] patient_1
[01:49:10.726 --> 01:49:13.038] doctor
[01:49:14.708 --> 01:49:16.480] doctor
[01:49:17.459 --> 01:49:20.193] doctor
