================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۰_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1241
================================================================================

[01:43:45.717 --> 01:43:49.143] patient_1
[01:43:46.409 --> 01:43:47.017] patient_2
[01:43:48.400 --> 01:43:48.822] patient_2
[01:43:49.818 --> 01:43:58.272] patient_1
[01:43:51.708 --> 01:43:52.231] patient_2
[01:43:57.698 --> 01:43:58.660] patient_2
[01:43:59.200 --> 01:44:02.761] patient_1
[01:44:02.947 --> 01:44:07.520] patient_2
[01:44:05.562 --> 01:44:13.055] patient_1
[01:44:08.313 --> 01:44:11.182] patient_2
[01:44:12.481 --> 01:44:18.758] patient_2
[01:44:21.256 --> 01:44:23.753] patient_2
[01:44:23.990 --> 01:44:25.070] patient_2
[01:44:24.597 --> 01:44:28.310] patient_1
[01:44:27.820 --> 01:44:30.503] patient_2
[01:44:29.997 --> 01:44:38.840] patient_1
[01:44:31.111 --> 01:44:35.431] patient_2
[01:44:36.106 --> 01:44:36.562] patient_2
[01:44:37.844 --> 01:44:42.215] patient_2
[01:44:42.367 --> 01:44:43.092] patient_2
[01:44:42.451 --> 01:44:47.311] patient_1
[01:44:46.687 --> 01:44:50.382] patient_2
[01:44:52.070 --> 01:44:57.217] patient_1
[01:44:55.057 --> 01:44:55.799] patient_2
[01:44:56.660 --> 01:44:59.967] patient_2
[01:44:58.550 --> 01:44:59.377] patient_1
[01:45:00.031 --> 01:45:01.735] patient_2
[01:45:00.031 --> 01:45:07.861] doctor
[01:45:04.857 --> 01:45:06.055] patient_2
[01:45:07.827 --> 01:45:10.882] patient_2
[01:45:11.000 --> 01:45:14.543] doctor
[01:45:13.818 --> 01:45:16.433] patient_2
[01:45:16.872 --> 01:45:20.045] patient_2
[01:45:20.770 --> 01:45:22.880] patient_2
[01:45:22.441 --> 01:45:27.436] doctor
