================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۱۰_۱۶۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2668
================================================================================

[01:47:02.577 --> 01:47:11.251] doctor
[01:47:04.113 --> 01:47:05.058] patient_1
[01:47:05.142 --> 01:47:05.530] patient_1
[01:47:12.078 --> 01:47:16.870] doctor
[01:47:12.989 --> 01:47:13.546] patient_1
[01:47:13.748 --> 01:47:16.195] patient_1
[01:47:17.191 --> 01:47:19.942] doctor
[01:47:18.457 --> 01:47:19.587] patient_1
[01:47:20.633 --> 01:47:36.007] doctor
[01:47:33.678 --> 01:47:34.437] patient_1
[01:47:36.243 --> 01:47:40.512] doctor
[01:47:40.867 --> 01:47:42.807] doctor
[01:47:41.744 --> 01:47:47.262] patient_1
[01:47:47.853 --> 01:47:48.865] patient_1
[01:47:49.220 --> 01:47:57.590] patient_1
[01:47:56.375 --> 01:47:57.353] doctor
[01:47:58.079 --> 01:47:59.210] patient_1
[01:47:58.231 --> 01:47:59.007] doctor
[01:47:59.530 --> 01:47:59.969] patient_1
[01:48:01.150 --> 01:48:01.960] doctor
[01:48:02.500 --> 01:48:15.528] patient_1
[01:48:06.196 --> 01:48:07.124] doctor
[01:48:08.423 --> 01:48:10.465] doctor
[01:48:15.595 --> 01:48:17.688] patient_1
[01:48:18.177 --> 01:48:34.968] doctor
[01:48:18.194 --> 01:48:19.915] patient_1
[01:48:23.459 --> 01:48:25.383] patient_1
[01:48:35.103 --> 01:48:35.963] doctor
[01:48:36.065 --> 01:48:36.807] doctor
[01:48:36.875 --> 01:48:43.692] patient_1
[01:48:41.903 --> 01:48:42.612] doctor
[01:48:44.435 --> 01:48:57.260] patient_1
[01:48:48.755 --> 01:48:49.177] doctor
[01:48:50.662 --> 01:48:52.113] doctor
[01:48:57.462 --> 01:49:12.751] patient_1
[01:49:13.645 --> 01:49:16.278] patient_1
[01:49:15.755 --> 01:49:16.295] doctor
[01:49:16.396 --> 01:49:17.375] doctor
[01:49:17.864 --> 01:49:28.883] doctor
[01:49:29.305 --> 01:49:39.987] patient_1
[01:49:38.047 --> 01:49:43.801] doctor
[01:49:41.557 --> 01:49:42.923] patient_1
[01:49:44.425 --> 01:49:59.967] doctor
[01:50:00.031 --> 01:50:04.283] doctor
[01:50:04.520 --> 01:50:08.823] doctor
[01:50:09.700 --> 01:50:18.155] patient_1
[01:50:13.126 --> 01:50:14.442] doctor
[01:50:15.404 --> 01:50:16.012] doctor
[01:50:18.408 --> 01:50:27.402] patient_1
[01:50:27.402 --> 01:50:30.153] doctor
[01:50:29.866 --> 01:50:43.906] patient_1
[01:50:44.311 --> 01:50:48.614] patient_1
[01:50:46.893 --> 01:50:50.116] doctor
[01:50:50.487 --> 01:50:53.677] doctor
[01:50:53.862 --> 01:51:04.358] doctor
[01:50:59.380 --> 01:51:01.000] patient_1
[01:51:04.713 --> 01:51:07.160] doctor
[01:51:05.894 --> 01:51:06.282] patient_1
[01:51:07.396 --> 01:51:19.664] doctor
[01:51:15.766 --> 01:51:17.487] patient_1
[01:51:20.407 --> 01:51:31.004] doctor
[01:51:31.460 --> 01:51:39.290] doctor
[01:51:37.450 --> 01:51:38.513] patient_1
[01:51:39.290 --> 01:51:40.150] patient_1
[01:51:40.690 --> 01:51:44.352] patient_1
[01:51:44.352 --> 01:51:49.043] doctor
