================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۲۰۰۰۳۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1532
================================================================================

[00:49:59.579 --> 00:49:59.933] doctor
[00:50:00.031 --> 00:50:01.364] doctor
[00:50:00.031 --> 00:50:06.275] patient_1
[00:50:06.612 --> 00:50:22.475] patient_1
[00:50:12.738 --> 00:50:13.278] doctor
[00:50:16.315 --> 00:50:16.754] doctor
[00:50:24.415 --> 00:50:25.782] patient_1
[00:50:27.622 --> 00:50:33.055] patient_1
[00:50:34.085 --> 00:50:35.198] patient_1
[00:50:35.384 --> 00:50:39.097] patient_1
[00:50:37.780 --> 00:50:38.405] doctor
[00:50:39.248 --> 00:50:46.268] patient_1
[00:51:03.076 --> 00:51:11.463] patient_1
[00:51:08.577 --> 00:51:10.248] doctor
[00:51:12.070 --> 00:51:12.796] patient_1
[00:51:20.423 --> 00:51:29.975] patient_1
[00:51:23.242 --> 00:51:24.035] doctor
[00:51:37.315 --> 00:51:38.817] patient_1
[00:51:39.020 --> 00:51:40.049] patient_1
[00:51:40.268 --> 00:51:41.247] patient_1
[00:51:42.698 --> 00:51:46.073] patient_1
[00:51:43.002 --> 00:51:44.183] doctor
[00:51:46.462 --> 00:51:48.132] patient_1
[00:51:49.263 --> 00:51:51.035] patient_1
[00:51:51.490 --> 00:51:54.038] patient_1
[00:51:59.978 --> 00:52:01.413] patient_1
[00:52:02.003 --> 00:52:03.607] patient_1
[00:52:05.058 --> 00:52:11.437] patient_1
[00:52:11.605 --> 00:52:19.773] patient_1
[00:52:13.175 --> 00:52:14.727] doctor
[00:52:16.955 --> 00:52:19.030] doctor
[00:52:19.958 --> 00:52:25.882] patient_1
[00:52:22.793 --> 00:52:23.907] doctor
[00:52:26.152 --> 00:52:26.675] patient_1
[00:52:26.928 --> 00:52:29.105] patient_1
[00:52:27.856 --> 00:52:28.565] doctor
[00:52:29.290 --> 00:52:30.522] patient_1
[00:52:30.590 --> 00:52:30.961] patient_1
[00:52:31.282 --> 00:52:35.753] patient_1
[00:52:34.387 --> 00:52:35.163] doctor
[00:52:36.648 --> 00:52:40.124] patient_1
[00:52:37.694 --> 00:52:38.150] doctor
[00:52:40.343 --> 00:52:41.423] patient_1
[00:52:41.677 --> 00:52:50.367] patient_1
[00:52:45.136 --> 00:52:45.727] doctor
[00:52:48.005 --> 00:52:48.798] doctor
[00:52:51.127 --> 00:53:00.931] patient_1
[00:52:52.004 --> 00:52:53.557] doctor
[00:52:54.367 --> 00:52:55.700] doctor
[00:53:01.235 --> 00:53:05.521] patient_1
[00:53:03.428 --> 00:53:04.424] doctor
[00:53:05.943 --> 00:53:12.220] patient_1
[00:53:09.267 --> 00:53:10.617] doctor
[00:53:12.322 --> 00:53:15.292] patient_1
[00:53:12.423 --> 00:53:12.912] doctor
[00:53:15.663 --> 00:53:21.586] patient_1
[00:53:22.160 --> 00:53:36.031] patient_1
[00:53:22.717 --> 00:53:24.202] doctor
[00:53:25.214 --> 00:53:25.619] doctor
[00:53:27.053 --> 00:53:29.264] doctor
[00:53:30.395 --> 00:53:35.170] doctor
[00:53:36.942 --> 00:53:37.567] doctor
[00:53:38.174 --> 00:53:39.119] doctor
[00:53:39.507 --> 00:53:41.853] doctor
[00:53:41.498 --> 00:53:43.237] patient_1
[00:53:42.697 --> 00:53:45.734] doctor
[00:53:45.734 --> 00:53:46.426] patient_1
[00:53:45.768 --> 00:53:46.190] doctor
[00:53:46.814 --> 00:53:53.868] patient_1
[00:53:52.147 --> 00:53:53.007] doctor
[00:53:54.340 --> 00:53:55.538] doctor
[00:53:55.640 --> 00:53:56.011] doctor
[00:53:55.690 --> 00:53:57.732] patient_1
[00:53:58.137 --> 00:54:01.141] doctor
[00:53:58.913 --> 00:53:59.386] patient_1
[00:53:59.842 --> 00:54:01.242] patient_1
[00:54:01.613 --> 00:54:02.187] doctor
[00:54:02.187 --> 00:54:05.123] patient_1
[00:54:03.031 --> 00:54:05.782] doctor
[00:54:06.777 --> 00:54:16.514] doctor
[00:54:15.012 --> 00:54:15.485] patient_1
[00:54:16.835 --> 00:54:17.948] doctor
[00:54:18.607 --> 00:54:19.501] doctor
[00:54:20.632 --> 00:54:22.673] doctor
[00:54:24.023 --> 00:54:28.276] patient_1
[00:54:24.648 --> 00:54:25.593] doctor
[00:54:26.335 --> 00:54:27.297] doctor
[00:54:28.276 --> 00:54:28.816] doctor
[00:54:29.120 --> 00:54:32.208] patient_1
[00:54:29.305 --> 00:54:31.027] doctor
[00:54:32.275 --> 00:54:39.447] patient_1
[00:54:39.616 --> 00:54:56.137] patient_1
[00:54:40.696 --> 00:54:41.422] doctor
[00:54:43.396 --> 00:54:44.088] doctor
[00:54:45.522 --> 00:54:46.214] doctor
[00:54:48.357 --> 00:54:49.505] doctor
[00:54:56.997 --> 00:54:58.482] patient_1
[00:54:58.651 --> 00:54:59.967] patient_1
[00:55:00.031 --> 00:55:01.027] patient_1
[00:55:01.060 --> 00:55:01.600] patient_1
[00:55:02.157 --> 00:55:06.950] doctor
[00:55:02.782 --> 00:55:04.030] patient_1
[00:55:06.308 --> 00:55:09.987] patient_1
[00:55:07.574 --> 00:55:11.573] doctor
[00:55:10.443 --> 00:55:11.438] patient_1
[00:55:12.333 --> 00:55:13.244] doctor
[00:55:13.480 --> 00:55:22.053] patient_1
[00:55:14.712 --> 00:55:18.087] doctor
[00:55:22.272 --> 00:55:26.812] patient_1
[00:55:26.963 --> 00:55:28.769] patient_1
[00:55:28.769 --> 00:55:30.490] doctor
[00:55:28.786 --> 00:55:29.140] patient_1
[00:55:31.537 --> 00:55:38.067] doctor
[00:55:37.493 --> 00:55:40.227] patient_1
[00:55:40.463 --> 00:55:43.315] doctor
[00:55:42.168 --> 00:55:44.497] patient_1
[00:55:44.176 --> 00:55:45.425] doctor
[00:55:45.425 --> 00:55:46.724] patient_1
[00:55:46.538 --> 00:55:47.821] doctor
[00:55:47.787 --> 00:55:48.226] patient_1
[00:55:48.614 --> 00:55:49.610] doctor
[00:55:49.964 --> 00:55:50.403] doctor
[00:55:50.403 --> 00:55:52.462] patient_1
[00:55:52.462 --> 00:55:53.508] doctor
[00:55:53.255 --> 00:55:54.689] patient_1
[00:55:53.812 --> 00:55:54.554] doctor
[00:55:54.689 --> 00:55:56.242] doctor
[00:55:56.512 --> 00:55:57.760] doctor
[00:55:57.980 --> 00:55:59.532] doctor
[00:55:59.650 --> 00:56:03.987] patient_1
[00:56:00.173 --> 00:56:01.287] doctor
[00:56:01.540 --> 00:56:05.725] doctor
[00:56:05.843 --> 00:56:08.307] patient_1
[00:56:06.367 --> 00:56:07.598] doctor
[00:56:09.421 --> 00:56:18.668] doctor
[00:56:12.087 --> 00:56:13.015] patient_1
[00:56:14.888 --> 00:56:16.306] patient_1
[00:56:18.517 --> 00:56:21.588] patient_1
[00:56:21.605 --> 00:56:29.266] doctor
[00:56:22.432 --> 00:56:25.250] patient_1
[00:56:27.258 --> 00:56:30.970] patient_1
[00:56:30.093 --> 00:56:30.903] doctor
[00:56:30.920 --> 00:56:32.472] doctor
[00:56:32.624 --> 00:56:38.395] patient_1
[00:56:33.637 --> 00:56:37.467] doctor
[00:56:37.855 --> 00:56:44.065] doctor
[00:56:44.487 --> 00:56:48.554] doctor
[00:56:47.440 --> 00:56:48.453] patient_1
[00:56:49.465 --> 00:56:50.765] doctor
[00:56:50.377 --> 00:56:53.887] patient_1
[00:56:51.777 --> 00:56:52.486] doctor
[00:56:56.266 --> 00:56:56.992] doctor
[00:56:57.548 --> 00:56:59.050] doctor
[00:56:58.308 --> 00:56:59.337] patient_1
[00:57:00.299 --> 00:57:02.662] doctor
[00:57:03.607 --> 00:57:04.822] patient_1
[00:57:04.822 --> 00:57:08.939] doctor
[00:57:10.357 --> 00:57:12.044] patient_1
[00:57:12.432 --> 00:57:13.057] patient_1
[00:57:13.512 --> 00:57:14.997] doctor
[00:57:15.183 --> 00:57:16.043] patient_1
[00:57:15.250 --> 00:57:18.895] doctor
[00:57:19.587 --> 00:57:20.971] doctor
[00:57:22.355 --> 00:57:23.249] doctor
[00:57:22.709 --> 00:57:23.992] patient_1
[00:57:23.671 --> 00:57:25.088] doctor
[00:57:26.135 --> 00:57:26.590] doctor
[00:57:27.097 --> 00:57:29.105] doctor
[00:57:29.122 --> 00:57:31.417] patient_1
[00:57:29.645 --> 00:57:30.522] doctor
[00:57:31.315 --> 00:57:31.754] doctor
[00:57:31.653 --> 00:57:33.205] patient_1
[00:57:32.716 --> 00:57:42.419] doctor
[00:57:35.467 --> 00:57:36.277] patient_1
[00:57:42.402 --> 00:57:46.368] patient_1
[00:57:46.402 --> 00:57:49.338] doctor
[00:57:49.557 --> 00:57:50.401] patient_1
[00:57:49.996 --> 00:57:52.477] doctor
[00:57:50.890 --> 00:57:52.088] patient_1
[00:57:52.477 --> 00:57:55.193] patient_1
[00:57:53.860 --> 00:57:54.350] doctor
[00:57:56.088 --> 00:57:58.147] doctor
[00:58:03.580 --> 00:58:04.238] doctor
[00:58:05.116 --> 00:58:11.579] doctor
[00:58:11.866 --> 00:58:12.406] patient_1
[00:58:12.271 --> 00:58:13.942] doctor
[00:58:14.397 --> 00:58:15.106] patient_1
[00:58:15.106 --> 00:58:16.102] doctor
[00:58:18.717 --> 00:58:19.072] doctor
[00:58:18.953 --> 00:58:20.152] patient_1
[00:58:20.050 --> 00:58:20.557] doctor
[00:58:24.893 --> 00:58:25.298] patient_1
[00:58:25.636 --> 00:58:26.227] doctor
[00:58:28.049 --> 00:58:30.142] doctor
[00:58:30.142 --> 00:58:30.547] patient_1
[00:58:31.002 --> 00:58:33.432] doctor
[00:58:34.529 --> 00:58:35.440] doctor
[00:58:36.689 --> 00:58:38.883] doctor
[00:58:39.338 --> 00:58:42.376] doctor
[00:58:42.393 --> 00:58:43.237] doctor
[00:58:43.338 --> 00:58:44.249] patient_1
[00:58:44.249 --> 00:58:44.671] doctor
[00:58:49.987 --> 00:59:00.803] patient_1
[00:59:00.078 --> 00:59:00.533] doctor
